Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,3,15,Espejo ,-,OH,4,3,0,1,-,30,3,1,2,6,33.33,0,0,0,0,-,1,0,3,4,25,1,0,4,5,20,1,2,3,-33.33,0,0,1,1,0
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,3,16,Taguibolos ,-,MB,1,1,0,0,-,-28.57,1,0,1,2,50,0,3,0,3,-100,0,0,2,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,3,17,Ordiales ,-,O,2,2,0,0,-,0,2,2,0,4,0,0,0,0,0,-,0,0,5,5,0,0,0,0,0,-,4,0,5,80,0,1,1,2,-50
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,3,19,Adajar ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,3,20,Josafat ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,3,21,Ramirez ,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,3,22,Buddin ,-,OH,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,3,24,Disquitado ,-,OH,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,2,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Tunisia,Philippines,3,0,25 ,25 ,25 ,-,-,13 ,17 ,23 ,-,-,ALL,1,Boussabah.A ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Tunisia,Philippines,3,0,25 ,25 ,25 ,-,-,13 ,17 ,23 ,-,-,ALL,2,Kadhi A ,-,MB,9,6,3,0,-,7.32,6,0,8,14,42.86,3,6,8,17,-17.65,0,0,10,10,0,0,1,2,3,-33.33,3,0,7,42.86,0,0,1,1,0
